user_id,movie_id,rating
Fedor Zu,Terminator,3
Nobik Dukes,Shreck,5
Han Ar,La La Land,5
Eren South,Robocop,
Brian Law,Harry Potter,4
Fedor Zu,Robocop,2
Nobik Dukes,La La Land,5
Han Ar,Shreck,4
Eren South,Terminator,
Fedor Zu,La La Land,3
Brian Law,Terminator,2
Han Ar,Robocop,1
Nobik Dukes,Harry Potter,
Fedor Zu,Harry Potter,
Fedor Zu,Shreck,5
Han Ar,Terminator,3
Han Ar,Harry Potter,5
Nobik Dukes,Terminator,3
Nobik Dukes,Robocop,
Brian Law,Robocop,
Brian Law,La La Land,1
Brian Law,Shreck,4
Eren South,Shreck,
Eren South,La La Land,1
Eren South,Harry Potter,5
Nobik Dukes,Star Wars ,
Han Ar,Star Wars ,4
Fedor Zu,Star Wars ,5
Eren South,Star Wars ,
Brian Law,Star Wars ,2
